description,name,room_type,host,price,income,rank,geometry
,4351098,Private room,10592009,50,100,635,"<Point><coordinates>-5.983851,37.40044,0.0</coordinates></Point>"
,2056061,Private room,10036023,14,98,636,"<Point><coordinates>-5.973744,37.413282,0.0</coordinates></Point>"
,689565,Entire home/apt,1379382,97,97,637,"<Point><coordinates>-5.967889,37.38168,0.0</coordinates></Point>"
,5569238,Private room,28861274,24,96,638,"<Point><coordinates>-5.911999,37.402543,0.0</coordinates></Point>"
,2325501,Private room,11878913,24,96,639,"<Point><coordinates>-5.977225,37.354937,0.0</coordinates></Point>"
,1054536,Entire home/apt,5419741,93,93,640,"<Point><coordinates>-5.967707,37.381923,0.0</coordinates></Point>"
,5803128,Entire home/apt,30106861,93,93,641,"<Point><coordinates>-6.00152,37.378762,0.0</coordinates></Point>"
,5395139,Entire home/apt,27966308,93,93,642,"<Point><coordinates>-6.004126,37.374887,0.0</coordinates></Point>"
,100087,Private room,160740,93,93,643,"<Point><coordinates>-5.991169,37.40866,0.0</coordinates></Point>"
,5592420,Private room,28995018,23,92,644,"<Point><coordinates>-5.968902,37.42846,0.0</coordinates></Point>"
,2095235,Private room,4651218,23,92,645,"<Point><coordinates>-5.979113,37.40354,0.0</coordinates></Point>"
,1141319,Entire home/apt,6250702,90,90,646,"<Point><coordinates>-5.985658,37.352956,0.0</coordinates></Point>"
,5829038,Entire home/apt,30257464,90,90,647,"<Point><coordinates>-6.010528,37.382779,0.0</coordinates></Point>"
,4837205,Private room,24896857,29,87,648,"<Point><coordinates>-5.976263,37.404629,0.0</coordinates></Point>"
,1680233,Private room,5001034,29,87,649,"<Point><coordinates>-5.982897,37.413214,0.0</coordinates></Point>"
,3662109,Private room,18562067,86,86,650,"<Point><coordinates>-5.981248,37.40246,0.0</coordinates></Point>"
,1675066,Private room,3140943,43,86,651,"<Point><coordinates>-5.942259,37.378759,0.0</coordinates></Point>"
,5591633,Entire home/apt,124145,86,86,652,"<Point><coordinates>-5.983195,37.401436,0.0</coordinates></Point>"
,6422355,Entire home/apt,28018341,86,86,653,"<Point><coordinates>-5.988912,37.400445,0.0</coordinates></Point>"
,1819482,Private room,3540583,43,86,654,"<Point><coordinates>-5.983143,37.371574,0.0</coordinates></Point>"
,5735789,Entire home/apt,8064579,86,86,655,"<Point><coordinates>-6.000723,37.395475,0.0</coordinates></Point>"
,3359092,Entire home/apt,6162974,86,86,656,"<Point><coordinates>-5.999261,37.383429,0.0</coordinates></Point>"
,5504750,Entire home/apt,28550412,86,86,657,"<Point><coordinates>-5.949692,37.383273,0.0</coordinates></Point>"
,477918,Private room,2367946,27,81,658,"<Point><coordinates>-5.986096,37.41335,0.0</coordinates></Point>"
,838243,Entire home/apt,3811251,79,79,659,"<Point><coordinates>-5.976928,37.387934,0.0</coordinates></Point>"
,2568619,Entire home/apt,5061775,79,79,660,"<Point><coordinates>-5.997973,37.380162,0.0</coordinates></Point>"
,3281116,Entire home/apt,15766820,79,79,661,"<Point><coordinates>-5.986048,37.420229,0.0</coordinates></Point>"
,1895154,Entire home/apt,7284658,79,79,662,"<Point><coordinates>-5.966793,37.370129,0.0</coordinates></Point>"
,1127607,Entire home/apt,6186596,75,75,663,"<Point><coordinates>-5.985088,37.421111,0.0</coordinates></Point>"
,5942977,Private room,30847439,75,75,664,"<Point><coordinates>-5.987565,37.351235,0.0</coordinates></Point>"
,5460078,Private room,28322620,37,74,665,"<Point><coordinates>-5.922558,37.397876,0.0</coordinates></Point>"
,2938396,Private room,11878913,24,72,666,"<Point><coordinates>-5.977403,37.353591,0.0</coordinates></Point>"
,6458952,Private room,15407672,36,72,667,"<Point><coordinates>-5.981174,37.387448,0.0</coordinates></Point>"
,2845826,Private room,7314133,24,72,668,"<Point><coordinates>-5.985528,37.401935,0.0</coordinates></Point>"
,4120732,Private room,21100629,72,72,669,"<Point><coordinates>-5.981463,37.374779,0.0</coordinates></Point>"
,677838,Entire home/apt,3448018,72,72,670,"<Point><coordinates>-5.951283,37.363338,0.0</coordinates></Point>"
,2683095,Private room,13735188,72,72,671,"<Point><coordinates>-5.985316,37.387099,0.0</coordinates></Point>"
,4208607,Entire home/apt,21838206,72,72,672,"<Point><coordinates>-5.998779,37.376993,0.0</coordinates></Point>"
,6259684,Private room,32522244,72,72,673,"<Point><coordinates>-5.974302,37.37569,0.0</coordinates></Point>"
,2497530,Private room,1745683,24,72,674,"<Point><coordinates>-6.003536,37.380915,0.0</coordinates></Point>"
,662269,Entire home/apt,1513237,72,72,675,"<Point><coordinates>-6.000123,37.379934,0.0</coordinates></Point>"
,5432453,Entire home/apt,9002116,70,70,676,"<Point><coordinates>-5.981324,37.36275,0.0</coordinates></Point>"
,363668,Private room,1716716,17,68,677,"<Point><coordinates>-5.97428,37.372946,0.0</coordinates></Point>"
,4294183,Private room,22290994,64,64,678,"<Point><coordinates>-5.996624,37.374316,0.0</coordinates></Point>"
,5788787,Shared room,30033256,32,64,679,"<Point><coordinates>-5.99329,37.384744,0.0</coordinates></Point>"
,5693585,Private room,6118522,32,64,680,"<Point><coordinates>-5.980492,37.39558,0.0</coordinates></Point>"
,5937814,Entire home/apt,30827649,64,64,681,"<Point><coordinates>-5.985526,37.405453,0.0</coordinates></Point>"
,6114880,Private room,31400269,21,63,682,"<Point><coordinates>-5.974545,37.369292,0.0</coordinates></Point>"
,6087397,Private room,31400269,21,63,683,"<Point><coordinates>-5.973942,37.368251,0.0</coordinates></Point>"
,6455789,Private room,33633021,21,63,684,"<Point><coordinates>-5.97455,37.363405,0.0</coordinates></Point>"
,6434542,Entire home/apt,15440678,63,63,685,"<Point><coordinates>-6.010258,37.388165,0.0</coordinates></Point>"
,5823092,Private room,24653013,20,60,686,"<Point><coordinates>-6.002039,37.380125,0.0</coordinates></Point>"
,2646303,Private room,8788370,29,58,687,"<Point><coordinates>-5.964261,37.385298,0.0</coordinates></Point>"
,2646897,Private room,8788370,29,58,688,"<Point><coordinates>-5.965966,37.386615,0.0</coordinates></Point>"
,6783884,Private room,12114772,29,58,689,"<Point><coordinates>-5.99598,37.373494,0.0</coordinates></Point>"
,6358711,Private room,32179404,29,58,690,"<Point><coordinates>-5.984795,37.405875,0.0</coordinates></Point>"
,6232081,Entire home/apt,22124958,57,57,691,"<Point><coordinates>-5.999633,37.380299,0.0</coordinates></Point>"
,5258008,Entire home/apt,2424097,57,57,692,"<Point><coordinates>-5.975277,37.36286,0.0</coordinates></Point>"
,5841275,Private room,21100629,57,57,693,"<Point><coordinates>-5.981921,37.373444,0.0</coordinates></Point>"
,6521502,Entire home/apt,15440678,57,57,694,"<Point><coordinates>-6.001103,37.38187,0.0</coordinates></Point>"
,2954971,Private room,13727867,57,57,695,"<Point><coordinates>-5.982476,37.394434,0.0</coordinates></Point>"
,3767743,Private room,7761341,56,56,696,"<Point><coordinates>-5.999843,37.38165,0.0</coordinates></Point>"
,5682968,Private room,29463507,54,54,697,"<Point><coordinates>-5.970395,37.411032,0.0</coordinates></Point>"
,3313408,Private room,5083732,50,50,698,"<Point><coordinates>-5.977794,37.374262,0.0</coordinates></Point>"
,3412737,Private room,17206872,50,50,699,"<Point><coordinates>-5.986089,37.358512,0.0</coordinates></Point>"
,5487897,Private room,12591887,50,50,700,"<Point><coordinates>-6.000082,37.375342,0.0</coordinates></Point>"
,6035826,Private room,13706705,50,50,701,"<Point><coordinates>-6.003904,37.37484,0.0</coordinates></Point>"
,6011817,Private room,31207829,50,50,702,"<Point><coordinates>-5.985245,37.384121,0.0</coordinates></Point>"
,6539506,Shared room,32965461,47,47,703,"<Point><coordinates>-5.990249,37.400819,0.0</coordinates></Point>"
,4907479,Private room,25266905,46,46,704,"<Point><coordinates>-5.975398,37.358435,0.0</coordinates></Point>"
,6010886,Private room,31203450,43,43,705,"<Point><coordinates>-5.966249,37.425372,0.0</coordinates></Point>"
,5660961,Private room,20798280,43,43,706,"<Point><coordinates>-5.951548,37.375862,0.0</coordinates></Point>"
,5788739,Shared room,30033256,43,43,707,"<Point><coordinates>-5.99301,37.383158,0.0</coordinates></Point>"
,680780,Private room,3466455,43,43,708,"<Point><coordinates>-5.996552,37.379194,0.0</coordinates></Point>"
,3739162,Private room,19115393,21,42,709,"<Point><coordinates>-5.985476,37.403878,0.0</coordinates></Point>"
,2813995,Private room,14395278,21,42,710,"<Point><coordinates>-5.988501,37.369562,0.0</coordinates></Point>"
,4316816,Private room,5980258,42,42,711,"<Point><coordinates>-5.979699,37.388724,0.0</coordinates></Point>"
,6549222,Private room,29742239,20,40,712,"<Point><coordinates>-5.979815,37.3474,0.0</coordinates></Point>"
,4685115,Private room,19883294,36,36,713,"<Point><coordinates>-5.978094,37.405461,0.0</coordinates></Point>"
,6458549,Private room,15407672,36,36,714,"<Point><coordinates>-5.981263,37.389201,0.0</coordinates></Point>"
,6859486,Entire home/apt,30955762,36,36,715,"<Point><coordinates>-5.987223,37.4146,0.0</coordinates></Point>"
,2755711,Private room,14096089,33,33,716,"<Point><coordinates>-5.964253,37.383829,0.0</coordinates></Point>"
,2758042,Entire home/apt,14096089,33,33,717,"<Point><coordinates>-5.964132,37.382514,0.0</coordinates></Point>"
,6739027,Private room,12114772,30,30,718,"<Point><coordinates>-5.996822,37.375098,0.0</coordinates></Point>"
,5879075,Private room,30529748,29,29,719,"<Point><coordinates>-5.980361,37.404023,0.0</coordinates></Point>"
,6748349,Private room,12114772,29,29,720,"<Point><coordinates>-5.996403,37.375009,0.0</coordinates></Point>"
,6312419,Private room,32179404,29,29,721,"<Point><coordinates>-5.985022,37.407162,0.0</coordinates></Point>"
,4416826,Private room,20515241,26,26,722,"<Point><coordinates>-5.976231,37.360289,0.0</coordinates></Point>"
,2930904,Private room,11878913,24,24,723,"<Point><coordinates>-5.977082,37.354129,0.0</coordinates></Point>"
,2689281,Private room,13765927,7164,0,724,"<Point><coordinates>-5.978872,37.385207,0.0</coordinates></Point>"
,6643457,Private room,34772189,62,0,725,"<Point><coordinates>-5.98105,37.385202,0.0</coordinates></Point>"
,5924355,Entire home/apt,30763300,106,0,726,"<Point><coordinates>-6.006226,37.378686,0.0</coordinates></Point>"
,2563844,Private room,13016929,26,0,727,"<Point><coordinates>-5.986658,37.41133,0.0</coordinates></Point>"
,4134152,Private room,17815509,86,0,728,"<Point><coordinates>-5.939871,37.376228,0.0</coordinates></Point>"
,2646536,Private room,8788370,29,0,729,"<Point><coordinates>-5.964484,37.385421,0.0</coordinates></Point>"
,6681099,Entire home/apt,13049683,142,0,730,"<Point><coordinates>-5.982321,37.372934,0.0</coordinates></Point>"
,6429966,Entire home/apt,27299307,85,0,731,"<Point><coordinates>-5.982974,37.400924,0.0</coordinates></Point>"
,675600,Private room,3431572,29,0,732,"<Point><coordinates>-5.96106,37.382454,0.0</coordinates></Point>"
,1223696,Entire home/apt,6285174,64,0,733,"<Point><coordinates>-6.000394,37.381878,0.0</coordinates></Point>"
,4832528,Private room,24870992,43,0,734,"<Point><coordinates>-5.97936,37.40833,0.0</coordinates></Point>"
,6529810,Entire home/apt,3001517,60,0,735,"<Point><coordinates>-5.97995,37.385298,0.0</coordinates></Point>"
,6194707,Entire home/apt,32124905,143,0,736,"<Point><coordinates>-6.003582,37.374721,0.0</coordinates></Point>"
,3684117,Entire home/apt,11306130,107,0,737,"<Point><coordinates>-6.003285,37.376576,0.0</coordinates></Point>"
,7050261,Entire home/apt,10241351,72,0,738,"<Point><coordinates>-5.987738,37.364744,0.0</coordinates></Point>"
,3658517,Private room,9850338,36,0,739,"<Point><coordinates>-5.980069,37.401756,0.0</coordinates></Point>"
,7016726,Private room,36603531,36,0,740,"<Point><coordinates>-5.965905,37.377528,0.0</coordinates></Point>"
,144918,Entire home/apt,701871,79,0,741,"<Point><coordinates>-6.000268,37.382423,0.0</coordinates></Point>"
,2617878,Entire home/apt,13016929,81,0,742,"<Point><coordinates>-5.987425,37.410202,0.0</coordinates></Point>"
