id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8391219,Stroll Boho Kensington from a Renovated 1910 Home with BBQ,32794340,Ryan,,Kensington-Chinatown,43.65299,-79.403,Entire home/apt,249,3,148,2019-08-26,3.20,1,283
8391861,Single Bedroom in Downtown Toronto!,5112330,Sofia,,Regent Park,43.66261,-79.3564,Private room,36,2,29,2019-09-08,0.62,2,316
8400387,South Etobicoke Newly Renovated Apt,44256510,Michelle,,Alderwood,43.59589,-79.54712,Entire home/apt,79,3,0,,,1,0
8407388,Architects Loft Apartment,12264481,Ian,,Palmerston-Little Italy,43.65554,-79.42076,Entire home/apt,150,2,1,2015-09-20,0.02,2,347
8409702,Sunny Queen West Condo with Views! Long-term only.,4142831,Lindsay,,Little Portugal,43.6421,-79.42415,Entire home/apt,150,2,25,2018-10-22,0.52,1,349
8410802,Absolutely Stunning Condo in the Heart of King West,44306082,Susan/Brad,,Waterfront Communities-The Island,43.64481,-79.39978,Entire home/apt,128,2,159,2019-09-02,3.28,1,191
8416353,A Beautiful Nest In West Queen West,6630293,Steven,,South Parkdale,43.64089,-79.42395,Entire home/apt,64,14,1,2016-02-16,0.02,1,0
8419680,Small cozy room in downtown,38685991,Ozgun,,Annex,43.67361,-79.40803,Private room,46,1,0,,,1,0
8419844,♥ Comfy 2 Bedroom in a Prime Location DT♥,785826,Arlene,,Waterfront Communities-The Island,43.64216,-79.38138,Entire home/apt,200,3,9,2019-07-18,0.25,23,0
8420453,❤️ Newly Renovated-Prime Location,32044025,Toronto,,Bayview Woods-Steeles,43.79179,-79.37191,Private room,34,1,5,2018-08-18,0.11,26,362
8423348,LOFt in Central Downtown - L4,4356799,T.,,Waterfront Communities-The Island,43.64439,-79.39048,Entire home/apt,150,2,8,2019-06-17,0.17,18,256
8426993,Upper Beach home on quiet street,11427187,Karyn,,East End-Danforth,43.68475,-79.28938,Entire home/apt,150,30,16,2019-05-31,0.33,1,256
8427466,The perfect AirBNB in High Park,21683340,Mike,,High Park North,43.65758,-79.47748,Entire home/apt,110,1,98,2018-04-25,2.12,3,0
8428255,Cool apartment near West Queen West,14135,Emma,,Niagara,43.64257,-79.41542,Entire home/apt,101,5,1,2015-10-15,0.02,1,0
8428487,"Beautiful Condo in Downtown TO, PARKING included!",44387408,Paula,,Niagara,43.63996,-79.41452,Entire home/apt,121,2,37,2019-09-12,0.77,1,0
8435997,Despair in two bedrooms,44417820,Nicole,,O'Connor-Parkview,43.70834,-79.3017,Entire home/apt,50,1,0,,,1,0
8439515,"Lovely Home, quite neighbourhood in East Toronto.",44435857,Francisca,,Ionview,43.73492,-79.27145,Entire home/apt,189,5,29,2019-08-26,0.72,3,256
8440755,Spacious Three Bedroom House,25413264,Mike,,Cliffcrest,43.71062,-79.24797,Entire home/apt,85,6,16,2019-08-31,0.34,1,325
